City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kapaa,US,22.0752,-159.319,59.0,77,1,10.36,clear sky
1,Mayna,RU,54.1135,47.6231,-6.23,91,100,13.78,overcast clouds
2,Xucheng,CN,20.35,110.1288,66.2,100,20,2.24,few clouds
3,Bratsk,RU,54.1135,47.6231,-6.23,91,100,13.78,overcast clouds
4,Kodiak,US,22.0752,-159.319,59.0,77,1,10.36,clear sky
5,Terra Santa,BR,-2.1042,-56.4869,94.17,45,74,5.06,light rain
6,Ust-Bolsheretsk,RU,54.1135,47.6231,-6.23,91,100,13.78,overcast clouds
7,Beringovskiy,RU,54.1135,47.6231,-6.23,91,100,13.78,overcast clouds
8,Victoria,HK,22.2855,114.1577,68.0,84,0,10.58,clear sky
9,Puerto Ayora,EC,-0.7393,-90.3518,84.2,70,0,17.27,light rain
10,Nikolskoye,RU,54.1135,47.6231,-6.23,91,100,13.78,overcast clouds
11,Cherskiy,RU,54.1135,47.6231,-6.23,91,100,13.78,overcast clouds
12,Bredasdorp,ZA,-34.5322,20.0403,69.8,56,59,9.22,broken clouds
13,Uzunovo,RU,54.1135,47.6231,-6.23,91,100,13.78,overcast clouds
14,Coihaique,CL,-45.5752,-72.0662,71.6,40,20,8.05,few clouds
15,Jamestown,US,42.097,-79.2353,19.99,73,90,12.66,light snow
16,Albany,US,42.6001,-73.9662,28.99,75,100,4.45,snow
17,Viransehir,TR,37.2353,39.7631,51.3,56,15,5.19,few clouds
18,Mahebourg,MU,-20.4081,57.7,80.6,74,20,10.36,few clouds
19,Canutama,BR,-2.1042,-56.4869,94.17,45,74,5.06,light rain
20,Omachi,JP,36.5,137.8667,33.01,90,46,4.18,light snow
21,Saint-Philippe,RE,-21.3585,55.7679,80.6,78,34,4.61,scattered clouds
22,Khatanga,RU,54.1135,47.6231,-6.23,91,100,13.78,overcast clouds
23,Ponta Delgada,PT,37.7333,-25.6667,59.0,77,75,16.11,broken clouds
24,Ocos,GT,14.5094,-92.1933,87.8,51,1,5.75,clear sky
25,Coahuayana,MX,18.7333,-103.6833,73.4,73,1,5.77,clear sky
26,Erdenet,MN,49.0333,104.0833,5.83,86,0,4.03,clear sky
27,Gadoros,HU,46.6667,20.6,45.0,100,90,11.5,mist
28,Bluff,NZ,-46.6,168.3333,54.05,85,100,5.1,overcast clouds
29,Korla,CN,20.35,110.1288,66.2,100,20,2.24,few clouds
30,Yellowknife,CA,62.456,-114.3525,-47.2,66,1,3.44,clear sky
31,Hithadhoo,MV,-0.6,73.0833,81.9,71,44,8.93,scattered clouds
32,Waingapu,ID,-9.6567,120.2641,78.13,82,94,5.82,overcast clouds
33,Marawi,PH,7.9986,124.2928,75.0,95,100,3.0,overcast clouds
34,Chuy,UY,-33.6971,-53.4616,76.33,60,1,8.97,clear sky
35,Rikitea,PF,-23.1203,-134.9692,77.38,72,96,12.06,overcast clouds
36,Alyangula,US,42.6001,-73.9662,28.99,75,100,4.45,snow
37,Ushuaia,AR,-54.8,-68.3,57.2,54,0,16.11,clear sky
38,Rio Gallegos,AR,-54.8,-68.3,57.2,54,0,16.11,clear sky
39,Lebu,CL,-45.5752,-72.0662,71.6,40,20,8.05,few clouds
40,Chapais,CA,62.456,-114.3525,-47.2,66,1,3.44,clear sky
41,Troitskoye,RU,54.1135,47.6231,-6.23,91,100,13.78,overcast clouds
42,Les Cayes,HT,18.2,-73.75,81.41,65,29,13.15,scattered clouds
43,Ribeira Grande,PT,37.7333,-25.6667,59.0,77,75,16.11,broken clouds
44,Bubaque,GW,11.2833,-15.8333,78.46,61,0,16.24,clear sky
45,Punta Arenas,CL,-45.5752,-72.0662,71.6,40,20,8.05,few clouds
46,Mys Shmidta,RU,54.1135,47.6231,-6.23,91,100,13.78,overcast clouds
47,Dikson,RU,54.1135,47.6231,-6.23,91,100,13.78,overcast clouds
48,Hatillo,US,22.0752,-159.319,59.0,77,1,10.36,clear sky
49,Cap Malheureux,MU,-20.4081,57.7,80.6,74,20,10.36,few clouds
50,Barrow,US,22.0752,-159.319,59.0,77,1,10.36,clear sky
51,Aklavik,CA,62.456,-114.3525,-47.2,66,1,3.44,clear sky
52,Thompson,CA,62.456,-114.3525,-47.2,66,1,3.44,clear sky
53,Cape Town,ZA,-34.5322,20.0403,69.8,56,59,9.22,broken clouds
54,Smithers,CA,62.456,-114.3525,-47.2,66,1,3.44,clear sky
55,Homer,US,22.0752,-159.319,59.0,77,1,10.36,clear sky
56,Castro,CL,-45.5752,-72.0662,71.6,40,20,8.05,few clouds
57,Bilma,NE,18.6853,12.9164,68.68,21,75,5.28,broken clouds
58,Hobart,US,42.6001,-73.9662,28.99,75,100,4.45,snow
